,Acousticness,Danceability,Duration Ms,Energy,Instrumentalness,Liveness,Loudness,Popularity,Speechiness,Tempo,Valence,Explicit,Records,Artist_clean,Album,Continent,Country,Rank
1898,0.22766666666666668,0.7983333333333333,182807.0,0.6213333333333334,2.9233333333333334e-06,0.16613333333333333,-6.2139999999999995,74.0,0.0456,132.71333333333334,0.6983333333333334,0.0,1.0,Surfaces,Where the Light Is,Global,Global,19
1921,0.233,0.716,165978.0,0.537,0.0,0.157,-7.648,84.0,0.0514,129.97899999999998,0.28,1.0,1.0,THE SCOTTS,THE SCOTTS,Global,Global,7
1970,0.29260918918918916,0.5750405405405404,279001.0945945946,0.5878783783783785,0.004369458648648649,0.2002486486486487,-7.5355135135135125,64.74324324324324,0.07929054054054054,124.7702162162162,0.332231081081081,0.6216216216216216,1.0,The Weeknd,After Hours,Global,Global,2
1971,0.29260918918918916,0.5750405405405404,279001.0945945946,0.5878783783783785,0.004369458648648649,0.2002486486486487,-7.5355135135135125,64.74324324324324,0.07929054054054054,124.7702162162162,0.332231081081081,0.6216216216216216,1.0,The Weeknd,After Hours,Global,Global,18
2058,0.4545,0.815,193797.5,0.5505,5.2000000000000004e-05,0.183,-6.304,85.5,0.08045,111.5075,0.508,0.0,1.0,Tones And I,Dance Monkey (Stripped Back) / Dance Monkey,Global,Global,10
2116,0.223,0.789,166794.0,0.7200000000000001,0.0,0.129,-5.652,42.333333333333336,0.21733333333333335,122.031,0.664,0.0,1.0,Topic,Breaking Me,Global,Global,40
2142,0.14429604166666674,0.6785416666666668,237195.1875,0.6225208333333334,0.0014110518750000002,0.20208125,-5.258958333333335,69.39583333333333,0.09152916666666668,127.0596666666666,0.3016791666666666,0.9583333333333334,1.0,Travis Scott,Birds In The Trap Sing McKnight,Global,Global,30
2143,0.14429604166666674,0.6785416666666668,237195.1875,0.6225208333333334,0.0014110518750000002,0.20208125,-5.258958333333335,69.39583333333333,0.09152916666666668,127.0596666666666,0.3016791666666666,0.9583333333333334,1.0,Travis Scott,ASTROWORLD,Global,Global,35
2144,0.14429604166666674,0.6785416666666668,237195.1875,0.6225208333333334,0.0014110518750000002,0.20208125,-5.258958333333335,69.39583333333333,0.09152916666666668,127.0596666666666,0.3016791666666666,0.9583333333333334,1.0,Travis Scott,HIGHEST IN THE ROOM,Global,Global,39
2202,0.11775,0.746,169303.0,0.47125000000000006,0.0,0.11234999999999999,-7.2685,77.0,0.039525,115.2825,0.297,0.0,1.0,Trevor Daniel,Nicotine,Global,Global,21
